pipeline,sample,condition,task,score,valid_json,latency_seconds
qwen,science_brain,clean,summarization,0.6769230769230768,,7.515
qwen,science_brain,clean,sentiment,1.0,1.0,3.396
qwen,science_brain,clean,keywords,0.6153846153846153,1.0,1.792
qwen,science_brain,clean,intent,1.0,1.0,3.384
qwen,science_brain,white_20db,summarization,0.6666666666666667,,3.04
qwen,science_brain,white_20db,sentiment,1.0,1.0,3.053
qwen,science_brain,white_20db,keywords,0.8333333333333334,1.0,1.424
qwen,science_brain,white_20db,intent,1.0,1.0,3.085
qwen,science_brain,white_10db,summarization,0.6769230769230768,,2.977
qwen,science_brain,white_10db,sentiment,1.0,1.0,2.956
qwen,science_brain,white_10db,keywords,0.8333333333333334,1.0,1.7
qwen,science_brain,white_10db,intent,1.0,1.0,3.397
qwen,science_brain,white_0db,summarization,0.6769230769230768,,3.004
qwen,science_brain,white_0db,sentiment,1.0,1.0,3.839
qwen,science_brain,white_0db,keywords,0.8333333333333334,1.0,1.765
qwen,science_brain,white_0db,intent,1.0,1.0,3.417
qwen,science_climate,clean,summarization,0.3943661971830986,,3.522
qwen,science_climate,clean,sentiment,0.0,1.0,1.344
qwen,science_climate,clean,keywords,0.2222222222222222,1.0,1.29
qwen,science_climate,clean,intent,0.0,1.0,1.248
qwen,science_climate,white_20db,summarization,0.4324324324324324,,3.231
qwen,science_climate,white_20db,sentiment,0.0,1.0,1.149
qwen,science_climate,white_20db,keywords,0.2222222222222222,1.0,1.234
qwen,science_climate,white_20db,intent,0.0,1.0,1.213
qwen,science_climate,white_10db,summarization,0.3943661971830986,,3.489
qwen,science_climate,white_10db,sentiment,0.0,1.0,0.975
qwen,science_climate,white_10db,keywords,0.30769230769230765,1.0,2.074
qwen,science_climate,white_10db,intent,1.0,1.0,0.966
qwen,science_climate,white_0db,summarization,0.4324324324324324,,3.278
qwen,science_climate,white_0db,sentiment,0.0,1.0,1.261
qwen,science_climate,white_0db,keywords,0.4615384615384615,1.0,1.858
qwen,science_climate,white_0db,intent,1.0,1.0,1.228
qwen,science_crispr,clean,summarization,0.5079365079365079,,4.392
qwen,science_crispr,clean,sentiment,0.0,1.0,2.009
qwen,science_crispr,clean,keywords,0.42857142857142855,1.0,2.377
qwen,science_crispr,clean,intent,1.0,1.0,2.85
qwen,science_crispr,white_20db,summarization,0.5161290322580646,,3.941
qwen,science_crispr,white_20db,sentiment,0.0,1.0,2.066
qwen,science_crispr,white_20db,keywords,0.42857142857142855,1.0,2.357
qwen,science_crispr,white_20db,intent,1.0,1.0,2.394
qwen,science_crispr,white_10db,summarization,0.5161290322580646,,4.333
qwen,science_crispr,white_10db,sentiment,0.0,1.0,2.518
qwen,science_crispr,white_10db,keywords,0.42857142857142855,1.0,2.687
qwen,science_crispr,white_10db,intent,1.0,1.0,4.019
qwen,science_crispr,white_0db,summarization,0.5079365079365079,,4.042
qwen,science_crispr,white_0db,sentiment,1.0,1.0,3.208
qwen,science_crispr,white_0db,keywords,0.14285714285714285,1.0,3.228
qwen,science_crispr,white_0db,intent,1.0,1.0,2.951
qwen,science_space,clean,summarization,0.6027397260273972,,3.441
qwen,science_space,clean,sentiment,1.0,1.0,0.839
qwen,science_space,clean,keywords,0.4615384615384615,1.0,4.417
qwen,science_space,clean,intent,1.0,1.0,3.344
qwen,science_space,white_20db,summarization,0.5063291139240508,,3.723
qwen,science_space,white_20db,sentiment,0.0,1.0,4.099
