sample,task,pipeline,score,valid_json
altitude,summarization,B_whisper_cascade,0.28571428571428575,
altitude,summarization,C_qwen_transcript,0.28571428571428575,
altitude,summarization,D_qwen_direct,0.18749999999999997,
altitude,sentiment,B_whisper_cascade,1.0,1.0
altitude,sentiment,C_qwen_transcript,1.0,1.0
altitude,sentiment,D_qwen_direct,0.0,1.0
altitude,keywords,B_whisper_cascade,0.0,1.0
altitude,keywords,C_qwen_transcript,0.0,1.0
altitude,keywords,D_qwen_direct,0.0,1.0
altitude,intent,B_whisper_cascade,1.0,1.0
altitude,intent,C_qwen_transcript,1.0,1.0
altitude,intent,D_qwen_direct,0.0,1.0
calm,summarization,B_whisper_cascade,0.5423728813559322,
calm,summarization,C_qwen_transcript,0.4482758620689655,
calm,summarization,D_qwen_direct,0.4615384615384615,
calm,sentiment,B_whisper_cascade,1.0,1.0
calm,sentiment,C_qwen_transcript,1.0,1.0
calm,sentiment,D_qwen_direct,1.0,1.0
calm,keywords,B_whisper_cascade,0.8571428571428571,1.0
calm,keywords,C_qwen_transcript,0.7999999999999999,1.0
calm,keywords,D_qwen_direct,0.8571428571428571,1.0
calm,intent,B_whisper_cascade,1.0,1.0
calm,intent,C_qwen_transcript,1.0,1.0
calm,intent,D_qwen_direct,0.0,1.0
depression,summarization,B_whisper_cascade,0.18604651162790697,
depression,summarization,C_qwen_transcript,0.2608695652173913,
depression,summarization,D_qwen_direct,0.3333333333333333,
depression,sentiment,B_whisper_cascade,0.0,1.0
depression,sentiment,C_qwen_transcript,0.0,1.0
depression,sentiment,D_qwen_direct,0.0,1.0
depression,keywords,B_whisper_cascade,0.375,1.0
depression,keywords,C_qwen_transcript,0.7058823529411764,1.0
depression,keywords,D_qwen_direct,0.7142857142857143,1.0
depression,intent,B_whisper_cascade,0.0,1.0
depression,intent,C_qwen_transcript,0.0,1.0
depression,intent,D_qwen_direct,1.0,1.0
happiness,summarization,B_whisper_cascade,0.19444444444444448,
happiness,summarization,C_qwen_transcript,0.1917808219178082,
happiness,summarization,D_qwen_direct,0.15789473684210525,
happiness,sentiment,B_whisper_cascade,1.0,1.0
happiness,sentiment,C_qwen_transcript,1.0,1.0
happiness,sentiment,D_qwen_direct,1.0,1.0
happiness,keywords,B_whisper_cascade,0.25,1.0
happiness,keywords,C_qwen_transcript,0.28571428571428575,1.0
happiness,keywords,D_qwen_direct,0.30769230769230765,1.0
happiness,intent,B_whisper_cascade,0.0,1.0
happiness,intent,C_qwen_transcript,0.0,1.0
happiness,intent,D_qwen_direct,0.0,1.0
healthy,summarization,B_whisper_cascade,0.15384615384615388,
healthy,summarization,C_qwen_transcript,0.18749999999999997,
healthy,summarization,D_qwen_direct,0.16393442622950818,
healthy,sentiment,B_whisper_cascade,0.0,1.0
healthy,sentiment,C_qwen_transcript,0.0,1.0
healthy,sentiment,D_qwen_direct,1.0,1.0
healthy,keywords,B_whisper_cascade,0.37499999999999994,1.0
healthy,keywords,C_qwen_transcript,0.37499999999999994,1.0
healthy,keywords,D_qwen_direct,0.1818181818181818,1.0
healthy,intent,B_whisper_cascade,1.0,1.0
healthy,intent,C_qwen_transcript,1.0,1.0
healthy,intent,D_qwen_direct,0.0,1.0
menopause,summarization,B_whisper_cascade,0.23076923076923078,
menopause,summarization,C_qwen_transcript,0.4444444444444444,
menopause,summarization,D_qwen_direct,0.1276595744680851,
menopause,sentiment,B_whisper_cascade,1.0,1.0
menopause,sentiment,C_qwen_transcript,1.0,1.0
menopause,sentiment,D_qwen_direct,1.0,1.0
menopause,keywords,B_whisper_cascade,0.5714285714285715,1.0
menopause,keywords,C_qwen_transcript,0.6666666666666666,1.0
menopause,keywords,D_qwen_direct,0.5454545454545454,1.0
menopause,intent,B_whisper_cascade,1.0,1.0
menopause,intent,C_qwen_transcript,1.0,1.0
menopause,intent,D_qwen_direct,1.0,1.0
speak,summarization,B_whisper_cascade,0.3137254901960784,
speak,summarization,C_qwen_transcript,0.27450980392156865,
speak,summarization,D_qwen_direct,0.23728813559322032,
speak,sentiment,B_whisper_cascade,1.0,1.0
speak,sentiment,C_qwen_transcript,1.0,1.0
speak,sentiment,D_qwen_direct,1.0,1.0
speak,keywords,B_whisper_cascade,0.3636363636363636,1.0
speak,keywords,C_qwen_transcript,0.0,1.0
speak,keywords,D_qwen_direct,0.0,1.0
speak,intent,B_whisper_cascade,1.0,1.0
speak,intent,C_qwen_transcript,1.0,1.0
speak,intent,D_qwen_direct,0.0,1.0
thanks,summarization,B_whisper_cascade,0.3389830508474576,
thanks,summarization,C_qwen_transcript,0.3582089552238806,
thanks,summarization,D_qwen_direct,0.24137931034482757,
thanks,sentiment,B_whisper_cascade,1.0,1.0
thanks,sentiment,C_qwen_transcript,1.0,1.0
thanks,sentiment,D_qwen_direct,0.0,1.0
thanks,keywords,B_whisper_cascade,0.7499999999999999,1.0
thanks,keywords,C_qwen_transcript,0.13333333333333333,1.0
thanks,keywords,D_qwen_direct,0.7272727272727272,1.0
thanks,intent,B_whisper_cascade,0.0,1.0
thanks,intent,C_qwen_transcript,0.0,1.0
thanks,intent,D_qwen_direct,0.0,1.0
