sample,normalized_wer,latency_seconds,transcript_raw,transcript_cleaned
butter,0.0,8.439,The speech transcribed verbatim is: 'mode cut up the onion and carrot into small rings and put them into a stewpan with the herbs mushrooms bay leaf cloves and mace add the butter and simmer the whole very gently over a slow fire until the onion is quite tender.',mode cut up the onion and carrot into small rings and put them into a stewpan with the herbs mushrooms bay leaf cloves and mace add the butter and simmer the whole very gently over a slow fire until the onion is quite tender.
centry,0.14285714285714285,6.126,The speech transcribed in its entirety is: 'while the liberated exiles rejoiced on the plain of meef the tent of the abbot of iona was pitched on the wath of tara a fact which would seem to indicate that already in little more than a century since the interdict had fallen on it the edifices which made so fine a show in the days of patrick were ruined and uninhabitable.',The speech transcribed in its entirety is: 'while the liberated exiles rejoiced on the plain of meef the tent of the abbot of iona was pitched on the wath of tara a fact which would seem to indicate that already in little more than a century since the interdict had fallen on it the edifices which made so fine a show in the days of patrick were ruined and uninhabitable.'
childhood,0.125,4.544,The speech transcribed in full is: 'and already this astounding blow begins to take its place among other events as a thing strange and terrible indeed but related to all the strangeness and mystery of life part of the universal mysteries of despair and futility and death that have troubled my consciousness since childhood.',The speech transcribed in full is: 'and already this astounding blow begins to take its place among other events as a thing strange and terrible indeed but related to all the strangeness and mystery of life part of the universal mysteries of despair and futility and death that have troubled my consciousness since childhood.'
fire,0.0,4.927,The speech transcribed verbatim is: 'put the sugar with one quarter pint of water in a saucepan over the fire remove the scum as it rises and add the lemon peel and ginger with the outside scraped off when the syrup is tolerably thick take it off the fire and when cold wipe the cucumbers dry and put them in.',put the sugar with one quarter pint of water in a saucepan over the fire remove the scum as it rises and add the lemon peel and ginger with the outside scraped off when the syrup is tolerably thick take it off the fire and when cold wipe the cucumbers dry and put them in.
justice,0.0,4.724,"He lived and died for the service of mankind, but the life and death of Socrates had likewise been devoted to the cause of religion and justice, and although the stoic or the hero may disdain the humble virtues of Jesus, the tears which he shed over his friend and country may be esteemed the purest evidence of his humanity.","He lived and died for the service of mankind, but the life and death of Socrates had likewise been devoted to the cause of religion and justice, and although the stoic or the hero may disdain the humble virtues of Jesus, the tears which he shed over his friend and country may be esteemed the purest evidence of his humanity."
literature,0.044444444444444446,3.627,'it seems to me more and more as I live longer that most poetry and most literature and particularly the literature of the past is discordant with the vastness and variety the reserves and resources and recuperations of life as we live it today.',it seems to me more and more as I live longer that most poetry and most literature and particularly the literature of the past is discordant with the vastness and variety the reserves and resources and recuperations of life as we live it today.
objects,0.0,3.756,In aristocracies every man has one sole object which he unceasingly pursues but amongst democratic nations the existence of man is more complex the same mind will almost always embrace several objects at the same time and these objects are frequently wholly foreign to each other as it cannot know them all well the mind is readily satisfied with imperfect notions of each.,In aristocracies every man has one sole object which he unceasingly pursues but amongst democratic nations the existence of man is more complex the same mind will almost always embrace several objects at the same time and these objects are frequently wholly foreign to each other as it cannot know them all well the mind is readily satisfied with imperfect notions of each.
pictures,0.023809523809523808,2.683,He laments most bitterly the divorce that has been made between decorative art and what we usually call pictures makes the customary appeal to the last judgment and reminds us that in the great days of art Michelangelo was the furnishing upholsterer.,He laments most bitterly the divorce that has been made between decorative art and what we usually call pictures makes the customary appeal to the last judgment and reminds us that in the great days of art Michelangelo was the furnishing upholsterer.
revolution,0.015384615384615385,3.872,"'It was the season when the ancient sun-god had been accustomed to receive his annual oblations, and we can well believe that those whose hearts still trembled at the name of Bel must have connected the eclipse and the plague with the revolution in the national worship and the overthrow of the ancient gods on that plain of prostration, where they had so long resided.'","It was the season when the ancient sun-god had been accustomed to receive his annual oblations, and we can well believe that those whose hearts still trembled at the name of Bel must have connected the eclipse and the plague with the revolution in the national worship and the overthrow of the ancient gods on that plain of prostration, where they had so long resided."
table,0.0,3.37,"I can see them now, exactly as they looked, working about the table in the lamplight. Jake with his heavy features so rudely molded that his face seemed somehow unfinished, Otto with his half ear and the savage scar that made his upper lip curl so ferociously under his twisted mustache.","I can see them now, exactly as they looked, working about the table in the lamplight. Jake with his heavy features so rudely molded that his face seemed somehow unfinished, Otto with his half ear and the savage scar that made his upper lip curl so ferociously under his twisted mustache."
