sample,task,pipeline,score,valid_json
butter,summarization,C_qwen_transcript,0.11764705882352938,
butter,summarization,D_qwen_direct,0.125,
butter,sentiment,C_qwen_transcript,1.0,1.0
butter,sentiment,D_qwen_direct,0.0,1.0
butter,keywords,C_qwen_transcript,0.5,1.0
butter,keywords,D_qwen_direct,0.4615384615384615,1.0
butter,intent,C_qwen_transcript,1.0,1.0
butter,intent,D_qwen_direct,0.0,1.0
centry,summarization,C_qwen_transcript,0.12121212121212122,
centry,summarization,D_qwen_direct,0.1904761904761905,
centry,sentiment,C_qwen_transcript,0.0,1.0
centry,sentiment,D_qwen_direct,0.0,1.0
centry,keywords,C_qwen_transcript,0.28571428571428575,1.0
centry,keywords,D_qwen_direct,0.30769230769230765,1.0
centry,intent,C_qwen_transcript,0.0,1.0
centry,intent,D_qwen_direct,1.0,1.0
childhood,summarization,C_qwen_transcript,0.2909090909090909,
childhood,summarization,D_qwen_direct,0.22580645161290322,
childhood,sentiment,C_qwen_transcript,1.0,1.0
childhood,sentiment,D_qwen_direct,0.0,1.0
childhood,keywords,C_qwen_transcript,0.37499999999999994,1.0
childhood,keywords,D_qwen_direct,0.5,1.0
childhood,intent,C_qwen_transcript,1.0,1.0
childhood,intent,D_qwen_direct,1.0,1.0
fire,summarization,C_qwen_transcript,0.12244897959183675,
fire,summarization,D_qwen_direct,0.28125,
fire,sentiment,C_qwen_transcript,1.0,1.0
fire,sentiment,D_qwen_direct,0.0,1.0
fire,keywords,C_qwen_transcript,0.7142857142857143,1.0
fire,keywords,D_qwen_direct,0.6153846153846153,1.0
fire,intent,C_qwen_transcript,1.0,1.0
fire,intent,D_qwen_direct,0.0,1.0
justice,summarization,C_qwen_transcript,0.1311475409836066,
justice,summarization,D_qwen_direct,0.19444444444444448,
justice,sentiment,C_qwen_transcript,1.0,1.0
justice,sentiment,D_qwen_direct,1.0,1.0
justice,keywords,C_qwen_transcript,0.37499999999999994,1.0
justice,keywords,D_qwen_direct,0.4615384615384615,1.0
justice,intent,C_qwen_transcript,1.0,1.0
justice,intent,D_qwen_direct,0.0,1.0
literature,summarization,C_qwen_transcript,0.2535211267605634,
literature,summarization,D_qwen_direct,0.15,
literature,sentiment,C_qwen_transcript,1.0,1.0
literature,sentiment,D_qwen_direct,0.0,1.0
literature,keywords,C_qwen_transcript,0.625,1.0
literature,keywords,D_qwen_direct,0.15384615384615383,1.0
literature,intent,C_qwen_transcript,0.0,1.0
literature,intent,D_qwen_direct,1.0,1.0
objects,summarization,C_qwen_transcript,0.13698630136986303,
objects,summarization,D_qwen_direct,0.12765957446808512,
objects,sentiment,C_qwen_transcript,1.0,1.0
objects,sentiment,D_qwen_direct,1.0,1.0
objects,keywords,C_qwen_transcript,0.13333333333333333,1.0
objects,keywords,D_qwen_direct,0.15384615384615383,1.0
objects,intent,C_qwen_transcript,1.0,1.0
objects,intent,D_qwen_direct,0.0,1.0
pictures,summarization,C_qwen_transcript,0.16666666666666669,
pictures,summarization,D_qwen_direct,0.15686274509803924,
pictures,sentiment,C_qwen_transcript,0.0,1.0
pictures,sentiment,D_qwen_direct,0.0,1.0
pictures,keywords,C_qwen_transcript,0.30769230769230765,1.0
pictures,keywords,D_qwen_direct,0.6666666666666666,1.0
pictures,intent,C_qwen_transcript,0.0,1.0
pictures,intent,D_qwen_direct,0.0,1.0
revolution,summarization,C_qwen_transcript,0.07894736842105263,
revolution,summarization,D_qwen_direct,0.15151515151515152,
revolution,sentiment,C_qwen_transcript,0.0,1.0
revolution,sentiment,D_qwen_direct,0.0,1.0
revolution,keywords,C_qwen_transcript,0.26666666666666666,1.0
revolution,keywords,D_qwen_direct,0.4615384615384615,1.0
revolution,intent,C_qwen_transcript,0.0,1.0
revolution,intent,D_qwen_direct,0.0,1.0
table,summarization,C_qwen_transcript,0.17241379310344826,
table,summarization,D_qwen_direct,0.12307692307692308,
table,sentiment,C_qwen_transcript,0.0,1.0
table,sentiment,D_qwen_direct,0.0,1.0
table,keywords,C_qwen_transcript,0.42857142857142855,1.0
table,keywords,D_qwen_direct,0.0,1.0
table,intent,C_qwen_transcript,1.0,1.0
table,intent,D_qwen_direct,1.0,1.0
