dataset,sample,task,pipeline,score
tts50,deep_sea,summarization,A_oracle,0.389
tts50,deep_sea,sentiment,A_oracle,1.0
tts50,deep_sea,keywords,A_oracle,0.0
tts50,deep_sea,intent,A_oracle,1.0
tts50,deep_sea,summarization,B_whisper_cascade,0.313
tts50,deep_sea,sentiment,B_whisper_cascade,1.0
tts50,deep_sea,keywords,B_whisper_cascade,0.0
tts50,deep_sea,intent,B_whisper_cascade,1.0
tts50,deep_sea,summarization,C_qwen_transcript,0.35
tts50,deep_sea,sentiment,C_qwen_transcript,0.0
tts50,deep_sea,keywords,C_qwen_transcript,0.0
tts50,deep_sea,intent,C_qwen_transcript,1.0
tts50,deep_sea,summarization,D_qwen_direct,0.359
tts50,deep_sea,sentiment,D_qwen_direct,0.0
tts50,deep_sea,keywords,D_qwen_direct,0.11769547325102882
tts50,deep_sea,intent,D_qwen_direct,1.0
tts50,describe_aurora,summarization,A_oracle,0.37
tts50,describe_aurora,sentiment,A_oracle,1.0
tts50,describe_aurora,keywords,A_oracle,0.23539094650205764
tts50,describe_aurora,intent,A_oracle,1.0
tts50,describe_aurora,summarization,B_whisper_cascade,0.329
tts50,describe_aurora,sentiment,B_whisper_cascade,1.0
tts50,describe_aurora,keywords,B_whisper_cascade,0.23539094650205764
tts50,describe_aurora,intent,B_whisper_cascade,1.0
tts50,describe_aurora,summarization,C_qwen_transcript,0.293
tts50,describe_aurora,sentiment,C_qwen_transcript,1.0
tts50,describe_aurora,keywords,C_qwen_transcript,0.24996850393700784
tts50,describe_aurora,intent,C_qwen_transcript,1.0
tts50,describe_aurora,summarization,D_qwen_direct,0.508
tts50,describe_aurora,sentiment,D_qwen_direct,1.0
tts50,describe_aurora,keywords,D_qwen_direct,0.11769547325102882
tts50,describe_aurora,intent,D_qwen_direct,1.0
tts50,describe_bakery,summarization,A_oracle,0.43
tts50,describe_bakery,sentiment,A_oracle,1.0
tts50,describe_bakery,keywords,A_oracle,0.11769547325102882
tts50,describe_bakery,intent,A_oracle,1.0
tts50,describe_bakery,summarization,B_whisper_cascade,0.348
tts50,describe_bakery,sentiment,B_whisper_cascade,1.0
tts50,describe_bakery,keywords,B_whisper_cascade,0.11769547325102882
tts50,describe_bakery,intent,B_whisper_cascade,1.0
tts50,describe_bakery,summarization,C_qwen_transcript,0.37
tts50,describe_bakery,sentiment,C_qwen_transcript,1.0
tts50,describe_bakery,keywords,C_qwen_transcript,0.11769547325102882
tts50,describe_bakery,intent,C_qwen_transcript,1.0
tts50,describe_bakery,summarization,D_qwen_direct,0.304
tts50,describe_bakery,sentiment,D_qwen_direct,1.0
