dataset,sample,task,pipeline,score
v1,altitude,summarization,A_oracle,0.2413793103448276
v1,altitude,summarization,B_whisper_cascade,0.28571428571428575
v1,altitude,summarization,C_qwen_transcript,0.28571428571428575
v1,altitude,summarization,D_qwen_direct,0.20833333333333334
v1,altitude,sentiment,A_oracle,1.0
v1,altitude,sentiment,B_whisper_cascade,1.0
v1,altitude,sentiment,C_qwen_transcript,1.0
v1,altitude,sentiment,D_qwen_direct,1.0
v1,altitude,keywords,A_oracle,0.0
v1,altitude,keywords,B_whisper_cascade,0.0
v1,altitude,keywords,C_qwen_transcript,0.0
v1,altitude,keywords,D_qwen_direct,0.0
v1,altitude,intent,A_oracle,1.0
v1,altitude,intent,B_whisper_cascade,1.0
v1,altitude,intent,C_qwen_transcript,1.0
v1,altitude,intent,D_qwen_direct,0.0
v1,calm,summarization,A_oracle,0.303030303030303
v1,calm,summarization,B_whisper_cascade,0.5423728813559322
v1,calm,summarization,C_qwen_transcript,0.4482758620689655
v1,calm,summarization,D_qwen_direct,0.1951219512195122
v1,calm,sentiment,A_oracle,1.0
v1,calm,sentiment,B_whisper_cascade,1.0
v1,calm,sentiment,C_qwen_transcript,1.0
v1,calm,sentiment,D_qwen_direct,1.0
v1,calm,keywords,A_oracle,0.9333333333333333
v1,calm,keywords,B_whisper_cascade,0.8571428571428571
v1,calm,keywords,C_qwen_transcript,0.7999999999999999
v1,calm,keywords,D_qwen_direct,0.8571428571428571
v1,calm,intent,A_oracle,1.0
v1,calm,intent,B_whisper_cascade,1.0
v1,calm,intent,C_qwen_transcript,1.0
v1,calm,intent,D_qwen_direct,1.0
v1,healthy,summarization,A_oracle,0.16
v1,healthy,summarization,B_whisper_cascade,0.15384615384615388
v1,healthy,summarization,C_qwen_transcript,0.18749999999999997
v1,healthy,summarization,D_qwen_direct,0.14285714285714285
v1,healthy,sentiment,A_oracle,0.0
v1,healthy,sentiment,B_whisper_cascade,0.0
v1,healthy,sentiment,C_qwen_transcript,0.0
v1,healthy,sentiment,D_qwen_direct,0.0
v1,healthy,keywords,A_oracle,0.5
v1,healthy,keywords,B_whisper_cascade,0.37499999999999994
v1,healthy,keywords,C_qwen_transcript,0.37499999999999994
v1,healthy,keywords,D_qwen_direct,0.15384615384615383
v1,healthy,intent,A_oracle,1.0
v1,healthy,intent,B_whisper_cascade,1.0
v1,healthy,intent,C_qwen_transcript,1.0
v1,healthy,intent,D_qwen_direct,1.0
v1,menopause,summarization,A_oracle,0.36
v1,menopause,summarization,B_whisper_cascade,0.23076923076923078
v1,menopause,summarization,C_qwen_transcript,0.4444444444444444
v1,menopause,summarization,D_qwen_direct,0.23255813953488372
v1,menopause,sentiment,A_oracle,1.0
v1,menopause,sentiment,B_whisper_cascade,1.0
v1,menopause,sentiment,C_qwen_transcript,1.0
v1,menopause,sentiment,D_qwen_direct,0.0
v1,menopause,keywords,A_oracle,0.6666666666666667
v1,menopause,keywords,B_whisper_cascade,0.5714285714285715
v1,menopause,keywords,C_qwen_transcript,0.6666666666666666
v1,menopause,keywords,D_qwen_direct,0.5
v1,menopause,intent,A_oracle,1.0
v1,menopause,intent,B_whisper_cascade,1.0
v1,menopause,intent,C_qwen_transcript,1.0
v1,menopause,intent,D_qwen_direct,1.0
v1,speak,summarization,A_oracle,0.19672131147540986
v1,speak,summarization,B_whisper_cascade,0.3137254901960784
v1,speak,summarization,C_qwen_transcript,0.27450980392156865
v1,speak,summarization,D_qwen_direct,0.07692307692307691
v1,speak,sentiment,A_oracle,1.0
v1,speak,sentiment,B_whisper_cascade,1.0
v1,speak,sentiment,C_qwen_transcript,1.0
v1,speak,sentiment,D_qwen_direct,1.0
v1,speak,keywords,A_oracle,0.1818181818181818
v1,speak,keywords,B_whisper_cascade,0.3636363636363636
v1,speak,keywords,C_qwen_transcript,0.0
v1,speak,keywords,D_qwen_direct,0.0
v1,speak,intent,A_oracle,1.0
v1,speak,intent,B_whisper_cascade,1.0
v1,speak,intent,C_qwen_transcript,1.0
v1,speak,intent,D_qwen_direct,0.0
v2,butter,summarization,A_oracle,0.125
v2,butter,summarization,B_whisper_cascade,0.11320754716981132
v2,butter,summarization,C_qwen_transcript,0.11764705882352938
v2,butter,summarization,D_qwen_direct,0.10169491525423728
v2,butter,sentiment,A_oracle,1.0
v2,butter,sentiment,B_whisper_cascade,1.0
v2,butter,sentiment,C_qwen_transcript,1.0
v2,butter,sentiment,D_qwen_direct,1.0
v2,butter,keywords,A_oracle,0.5
v2,butter,keywords,B_whisper_cascade,0.5
v2,butter,keywords,C_qwen_transcript,0.5
v2,butter,keywords,D_qwen_direct,0.4615384615384615
v2,butter,intent,A_oracle,1.0
v2,butter,intent,B_whisper_cascade,1.0
v2,butter,intent,C_qwen_transcript,1.0
v2,butter,intent,D_qwen_direct,1.0
v2,fire,summarization,A_oracle,0.14545454545454545
v2,fire,summarization,B_whisper_cascade,0.14545454545454545
v2,fire,summarization,C_qwen_transcript,0.12244897959183675
v2,fire,summarization,D_qwen_direct,0.11594202898550725
v2,fire,sentiment,A_oracle,1.0
v2,fire,sentiment,B_whisper_cascade,1.0
v2,fire,sentiment,C_qwen_transcript,1.0
v2,fire,sentiment,D_qwen_direct,1.0
v2,fire,keywords,A_oracle,0.7142857142857143
v2,fire,keywords,B_whisper_cascade,0.625
v2,fire,keywords,C_qwen_transcript,0.7142857142857143
v2,fire,keywords,D_qwen_direct,0.4615384615384615
v2,fire,intent,A_oracle,1.0
v2,fire,intent,B_whisper_cascade,1.0
v2,fire,intent,C_qwen_transcript,1.0
v2,fire,intent,D_qwen_direct,1.0
