sample,task,original_score,rerun_score,difference,rerun_valid_json,exact_output_match
ocean_currents,summarization,0.3333333333333333,0.3333333333333333,0.0,,True
ocean_currents,sentiment,0.0,0.0,0.0,1.0,True
ocean_currents,keywords,0.4615384615384615,0.4615384615384615,0.0,1.0,True
ocean_currents,intent,0.0,0.0,0.0,1.0,True
vaccine_development,summarization,0.29629629629629634,0.29629629629629634,0.0,,True
vaccine_development,sentiment,1.0,1.0,0.0,1.0,True
vaccine_development,keywords,0.30769230769230765,0.30769230769230765,0.0,1.0,True
vaccine_development,intent,0.0,0.0,0.0,1.0,True
remote_work,summarization,0.42424242424242425,0.42424242424242425,0.0,,True
remote_work,sentiment,0.0,0.0,0.0,1.0,True
remote_work,keywords,0.6153846153846153,0.6153846153846153,0.0,1.0,True
remote_work,intent,0.0,0.0,0.0,1.0,True
sleep_science,summarization,0.2758620689655172,0.2758620689655172,0.0,,True
sleep_science,sentiment,0.0,0.0,0.0,1.0,True
sleep_science,keywords,0.2857142857142857,0.2857142857142857,0.0,1.0,True
sleep_science,intent,1.0,1.0,0.0,1.0,True
renewable_energy,summarization,0.4150943396226415,0.4150943396226415,0.0,,True
renewable_energy,sentiment,1.0,1.0,0.0,1.0,True
renewable_energy,keywords,0.42857142857142855,0.42857142857142855,0.0,1.0,True
renewable_energy,intent,0.0,0.0,0.0,1.0,True
memory_formation,summarization,0.22857142857142854,0.22857142857142854,0.0,,True
memory_formation,sentiment,1.0,1.0,0.0,1.0,True
memory_formation,keywords,0.5714285714285714,0.5714285714285714,0.0,1.0,True
memory_formation,intent,1.0,1.0,0.0,1.0,True
urban_biodiversity,summarization,0.37333333333333335,0.37333333333333335,0.0,,True
urban_biodiversity,sentiment,1.0,1.0,0.0,1.0,True
urban_biodiversity,keywords,0.42857142857142855,0.42857142857142855,0.0,1.0,True
urban_biodiversity,intent,0.0,0.0,0.0,1.0,True
nuclear_fusion,summarization,0.24242424242424243,0.24242424242424243,0.0,,True
nuclear_fusion,sentiment,0.0,0.0,0.0,1.0,True
nuclear_fusion,keywords,0.6153846153846153,0.6153846153846153,0.0,1.0,True
nuclear_fusion,intent,0.0,0.0,0.0,1.0,True
microbiome,summarization,0.48484848484848486,0.48484848484848486,0.0,,True
microbiome,sentiment,0.0,0.0,0.0,1.0,True
microbiome,keywords,0.42857142857142855,0.42857142857142855,0.0,1.0,True
microbiome,intent,0.0,0.0,0.0,1.0,True
deep_sea,summarization,0.16,0.16,0.0,,True
deep_sea,sentiment,0.0,0.0,0.0,1.0,True
deep_sea,keywords,0.2857142857142857,0.2857142857142857,0.0,1.0,True
deep_sea,intent,0.0,0.0,0.0,1.0,True
language_acquisition,summarization,0.48148148148148157,0.48148148148148157,0.0,,True
language_acquisition,sentiment,0.0,0.0,0.0,1.0,True
language_acquisition,keywords,0.5714285714285714,0.5714285714285714,0.0,1.0,True
language_acquisition,intent,0.0,0.0,0.0,1.0,True
plastic_pollution,summarization,0.2727272727272727,0.2727272727272727,0.0,,True
plastic_pollution,sentiment,1.0,1.0,0.0,1.0,True
plastic_pollution,keywords,0.14285714285714285,0.14285714285714285,0.0,1.0,True
plastic_pollution,intent,0.0,0.0,0.0,1.0,True
